"# Keplarian elements and rates for approximate position calculation from 3000BC to 3000AD from https://ssd.jpl.nasa.gov/?planet_pos. ""Earth"" is really Earth-Moon barycenter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hack note: I reversed polarity of Uranus & Pluto rotation (- to +) so they rotate with moon orbits. It may be moon orbits that are wrong instead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Ceres was added using AstDyS-2 proper elements a, e, sin(i), n and non-proper Om, w & M0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Units are optional when using sim standard units: s, km, kg, radians and their derivations (km/s, etc.). See ivoyager/static/conv.gd for allowed symbols.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units can also be a valid float; value x float is expected to give standard sim units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,# The 6 orbital elements; we'll convert L0->M0 and w_hat->w.,,,,,,,,,# Per century adjustments to elements from J2000,,,,,,,,,,,# RA/dec at J2018,,# 7 params from https://ssd.jpl.nasa.gov/?planet_phys_par,,,,,,,# system GM,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# Four M adjustments for Jupiter to Pluto,,,,,,,,,,,,,,,
key,file_prefix,wiki_en,parent,body_type,rotate_adj,rings,rings_outer_radius,first_jovian,dwarf,barycenter_counterbalanced,atmosphere,gas_giant,minor_moons,a,e,i,L0,w_hat,Om,M0,w,n,a_rate,e_rate,i_rate,L_rate,w_rate,Om_rate,M_adj_b,M_adj_c,M_adj_s,M_adj_f,is_tidally_locked,RA,dec,e_radius,m_radius,mass,density,rotation,albedo,esc_vel,GM,GM_planet
Data_Type,STRING,STRING,STRING,STRING,REAL,STRING,REAL,X,X,X,X,X,X,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,BOOL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL
Defaults,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,
Units,,,,,deg,,km,,,,,,,au,,deg,deg,deg,deg,deg,deg,deg/d,au/century,1/century,deg/century,deg/century,deg/century,deg/century,deg,deg,deg,deg,,deg,deg,km,km,10^24 kg,g/cm^3,d,,km/s,km^3/s^2,km^3/s^2
PLANET_MERCURY,Mercury,Mercury (planet),STAR_SUN,BODY_ROCKY_WORLD,,,,,,,,,,0.38709843,0.20563661,7.00559432,252.2516672,77.45771895,48.33961819,,,,0,0.00002123,-0.00590158,149472.6749,0.15940013,-0.12214182,,,,,,281.0038,61.41342,2439.7,2439.7,0.330114,5.427,58.6462,0.106,4.25,,
PLANET_VENUS,Venus,Venus,STAR_SUN,BODY_THICK_ATMOSPHERE_WORLD,,,,,,,x,,,0.72332102,0.00676399,3.39777545,181.9797085,131.7675571,76.67261496,,,,-0.00000026,-0.00005107,0.00043494,58517.8156,0.05679648,-0.27274174,,,,,,272.76,67.16,6051.8,6051.8,4.86747,5.243,-243.018,0.65,10.36,,
PLANET_EARTH,Earth,Earth,STAR_SUN,BODY_CONTINENTAL_WORLD,180,,,,,,x,,,1.00000018,0.01673163,-0.00054346,100.4669157,102.9300589,-5.11260389,,,,-0.00000003,-0.00003661,-0.01337178,35999.37306,0.3179526,-0.24123856,,,,,,359.88462,89.89974,6378.14,6371,5.97237,5.5134,0.99726968,0.367,11.19,,
PLANET_MARS,Mars,Mars,STAR_SUN,BODY_DESERT_WORLD,,,,,,,x,,,1.52371243,0.09336511,1.85181869,-4.56813164,-23.91744784,49.71320984,,,,0.00000097,0.00009149,-0.00724757,19140.29934,0.45223625,-0.26852431,,,,,,317.66233,52.87554,3396.19,3389.5,0.641712,3.934,1.02595676,0.15,5.03,,
PLANET_CERES,Ceres,Ceres (dwarf planet),STAR_SUN,BODY_ROCKY_WORLD,,,,,x,,,,,2.7670962,0.1161977,9.6474122,,,80.30888738,309.4940868,73.02369957,0.21408164,,,,,,,,,,,,291,59,,473,,2.161,0.3780904,0.09,,62.6284,
PLANET_JUPITER,Jupiter,Jupiter,STAR_SUN,BODY_GAS_GIANT,200,,,x,,,x,x,x,5.20248019,0.0485359,1.29861416,34.33479152,14.27495244,100.2928265,,,,-0.00002864,0.00018026,-0.00322699,3034.903718,0.18199196,0.13024619,-0.00012452,0.0606406,-0.35635438,38.35125,,268.05739,64.49713,71492,69911,1898.187,1.3262,0.41354,0.52,60.2,126712764.1,126686536.1
PLANET_SATURN,Saturn,Saturn,STAR_SUN,BODY_GAS_GIANT,,saturn_rings,140390,,,,x,x,x,9.54149883,0.05550825,2.49424102,50.07571329,92.86136063,113.639987,,,,-0.00003065,-0.00032044,0.00451969,1222.114947,0.54179478,-0.25015002,0.00025899,-0.13434469,0.87320147,38.35125,,40.58252,83.53628,60268,58232,568.336,0.6871,0.44401,0.47,36.09,37940585,37931208
PLANET_URANUS,Uranus,Uranus,STAR_SUN,BODY_ICE_GIANT,,,,,,,x,x,x,19.18797948,0.0468574,0.77298127,314.2027663,172.4340444,73.96250215,,,,-0.00020455,-0.0000155,-0.00180155,428.495126,0.09266985,0.05739699,0.00058331,-0.97731848,0.17689245,7.67025,,257.311,-15.175,25559,25362,86.8127,1.27,0.71833,0.51,21.38,5794556.4,5793951.3
PLANET_NEPTUNE,Neptune,Neptune,STAR_SUN,BODY_ICE_GIANT,,,,,,,x,x,x,30.06952752,0.00895439,1.7700552,304.2228929,46.68158724,131.7863585,,,,0.00006447,0.00000818,0.000224,218.4651531,0.01009938,-0.00606302,-0.00041348,0.68346318,-0.10162547,7.67025,,299.44854,42.9541,24764,24622,102.4126,1.638,0.67125,0.41,23.56,6836527,6835100
PLANET_PLUTO,Pluto,Pluto,STAR_SUN,BODY_ICE_WORLD,,,,,x,,,,,39.48686035,0.24885238,17.1410426,238.9653501,224.097026,110.3016799,,,,0.00449751,0.00006016,0.00000501,145.180429,-0.00968827,-0.00809981,-0.01262724,0,0,0,,132.993,-6.163,1151,1151,0.01303,2.05,6.3872,0.3,1.23,,
